identificador_boe,publication_date,source_document_sha256,year,boe_series,pre_model_decision,batch_id,batch_rank,batch_hash
BOE-A-2024-25773,2024-12-10,6007ba46bb6d9cef59a13b01e23c9d414bc11354942451d537e554b86adce2b5,2024,A,MODEL_REQUIRED,main-14,94,a9667f8183efb7cc6f6ef0ee7cd9853aaae8f2e366ebe372263733bf71d74fdf
BOE-A-2025-21360,2025-10-23,471a8e520cb1998b0f2c647dc4da98448d1fe9fad976ad48caccc7b58b54fc25,2025,A,MODEL_REQUIRED,main-14,95,a98478e098c9128668ac0f3adc7cded08daaac0577fb90b6e81428cbac96be85
BOE-B-2024-46476,2024-12-19,2003f4ee61fcda51bed1a859643852363e3d98297d70815f99082909263c7b8a,2024,B,MODEL_REQUIRED,main-14,96,a9a55ed06787388e6c0d3eda2466c5c564acde1968d386e955c990a199920d98
BOE-B-2024-34474,2024-09-28,3db010d51d32675d0fdee285fefa856d359fbd6c4245e2af59806973ec20a691,2024,B,MODEL_REQUIRED,main-14,97,a9c604f3343a778738127531440ea043e63cc034256b250201cb429fee007dcb
BOE-B-2026-14491,2026-05-07,6265a61a3eb94e1623c36bf0d394055495af9758f2f179ef870d1be951dd274c,2026,B,MODEL_REQUIRED,main-14,98,a9c74772a852ba71707cd16b26bc3bf1dfc7778c2835eca0b63df56e74b565f8
BOE-A-2024-4477,2024-03-07,04bfb42921c55a370c3aec1b8ba3026c86dcd0ffa11617646b3ec1fa46656391,2024,A,MODEL_REQUIRED,main-14,99,a9da80c175f92700218d116b074b8afec81e908bbf541f6f65ad7fa83cc21db8
BOE-A-2026-6958,2026-03-25,06eb7259f0d8c1f2d1879291fe32b748e5bc113604121261a87834858d18fdd2,2026,A,MODEL_REQUIRED,main-14,100,a9f46c249e15413efcaaabf849127994d40e407477805744b54adba61240e462
BOE-B-2025-12138,2025-04-02,21a6108bacf3a282625622924d4bad05324066259cbc26ca2833424bf842ca00,2025,B,MODEL_REQUIRED,main-14,101,a9f4b78186f79002d9e887959cb98d2ec24f3bd49a68d630c951636a1551e3fe
BOE-B-2026-9512,2026-03-27,4ac416e8053f0aa41a715143b75290ca2dc9996046fcea61837ff9ddfad2493e,2026,B,MODEL_REQUIRED,main-14,102,a9ffe3801214dcc1dc30ab91d00df83fafef70d2c50a6fe57f8d4eb5518c9170
BOE-A-2024-12925,2024-06-26,ab63d78d34f9555b63462deae8352181d987813008ac6de042b730f79eeb6bd6,2024,A,MODEL_REQUIRED,main-14,103,aa00a915dda7fc70bf5018a9f137b49c1e442edd20bc40f36391923fb17fc800
BOE-B-2025-25050,2025-07-02,373bfeb3339e51fd41762a1105943116d8bc0c68c76c7132958665b5781bd1fd,2025,B,MODEL_REQUIRED,main-14,104,aa081f85b00c00a2353a93dc1eaa198ffc662c8ff5dee981d10f3e3a305cda23
BOE-B-2024-19578,2024-05-29,46ad4c8c876e556ee440391f90665b988d462a7e1cf92f2d5597c2e4ac0760ce,2024,B,MODEL_REQUIRED,main-14,105,aa17d01d3be8af3ac4b6bc518e2ab32ea4006f15a4e704d12afcb58a74984add
BOE-A-2025-12039,2025-06-14,4c5aeff7fdbf7af5eaa3980b6ecfdfa7844705659446ec01c70c55b12c19f18e,2025,A,MODEL_REQUIRED,main-14,106,aa19ad15c263a3aa9ca34f6447386f4d741b99801fdab92ef56a2412ddd5e58a
BOE-A-2026-9009,2026-04-24,7577956cfc536bfa00c986b8c6b08249ae5db986f5f0c222447288e47e7151e8,2026,A,MODEL_REQUIRED,main-14,107,aa1a5c7a9fd0af02a96cb0e8f08286c4d71a712de1e4cf8a682fb9f56f8481c4
BOE-A-2025-10070,2025-05-21,02815bc38892855be093cb33c2e4afc0b642410eccf4abee6f1314e01b4de92c,2025,A,MODEL_REQUIRED,main-14,108,aa1c189b73cfc29bd3849ba840beda82b567d89913dc13279feb48dcdb45b4c4
BOE-B-2024-19769,2024-05-31,d353728d3bb06b43196b7948c47a4d204435a593c8f721fa44303f027f093e4c,2024,B,MODEL_REQUIRED,main-14,109,aa2ff55e340c2b38062f4b1c88b36abddca3ba241777d01b123a174a30fa02a8
BOE-B-2024-16421,2024-05-07,7140e0a087ac512417e3f4bf38a4199b98a7f3cf3a795ff93bc7f35ed1e71ba2,2024,B,MODEL_REQUIRED,main-14,110,aa3a6ca1de17f204893c14f916062d95f10589f1ba64d904fbb8b13eedc501e0
BOE-B-2024-26225,2024-07-12,d12c4f06d0acbbee1fadb7cc44ebe2194eb940bb347695708be57d73b2d338f1,2024,B,MODEL_REQUIRED,main-14,111,aa3bcf2cdabd835ec90a345afd1740d20fa1a268917fb87322c479ad0fa1d61b
BOE-A-2024-24573,2024-11-25,5951f6df1350f3672b3de0f4e7685d94abf8939cb13efc388bd51ad643a739d1,2024,A,MODEL_REQUIRED,main-14,112,aa4c7d4b8c8426ca2290fed6a2bac199f559a1ae11f020da8637dd99944c47b7
BOE-B-2026-20884,2026-06-19,0284822705c4a66958bbd050ffa351b6481c5e13e555e83791dde658c63eacc3,2026,B,MODEL_REQUIRED,main-14,113,aa52dd140394624c010aa858a0347e11056228b2780fcec7a71d08a5ef38b2bc
BOE-B-2025-21984,2025-06-13,3c16c9c54fe7e03cec12a55bf7205b6313dcbfa5c4b63a47cf9ab159e2f2c3ae,2025,B,MODEL_REQUIRED,main-14,114,aa53a3e016cc9e16342d86482ad7bbceb103cc7573105c498f99948eb0983353
BOE-B-2024-37359,2024-10-17,de454cb4ebd05a0edb26fb29ec792c30decfa658440e63f00dc206b781a2bcd9,2024,B,MODEL_REQUIRED,main-14,115,aa587619b7d39594a25a08611b96bdf3c58527ec5aa98754d48b18d7756e073f
BOE-B-2024-30397,2024-08-29,bae48364a212c6844e7f09128d35e235b40b69d3805e133c11c9104be90c297e,2024,B,MODEL_REQUIRED,main-14,116,aa5cfab2064b811d0524d31fe1572efee5b5528fada11911945214e173ffedc2
BOE-A-2026-16662,2026-07-31,9eb76b5c474019c5ebcabeade1fa55a758bbf234cb77e4faa506efdb72425cf0,2026,A,MODEL_REQUIRED,main-14,117,aa60895709ed8e44b3af3337cde62ca00ef52fd2e04a832c054d6d9682ee2025
